,chip,y,x,n_cells,label
285,0,4074.930345790469,9572.5707401179,4,286.0
286,0,4073.7844426029214,10105.672490706997,4,287.0
287,0,4072.352267171235,10639.04872736566,0,288.0
288,0,4071.3110912866623,11183.142793311714,3,289.0
289,0,4070.318049405681,11708.956775861545,3,290.0
290,0,4068.908437489413,12245.77112328583,3,291.0
291,0,4067.911236656864,12771.317951537454,3,292.0
292,0,4067.005631926128,13300.96704651993,2,293.0
293,0,4065.751539688144,13833.407035671822,4,294.0
294,0,4064.578348161322,14370.487773759076,3,295.0
295,0,4063.327623906676,14903.724953893838,1,296.0
296,0,4061.9112298677214,15432.30901022199,6,297.0
297,0,4060.610743551339,15973.504393693633,3,298.0
298,0,4059.598856216735,16510.447817857552,3,299.0
299,0,4058.178232044735,17043.54862707387,4,300.0
300,0,4057.941910049101,17569.624627841105,5,301.0
301,0,4056.3018520911073,18105.91198656393,4,302.0
302,0,4054.88977912993,18635.034775366057,8,303.0
303,0,4053.429351167025,19168.66701005107,4,304.0
304,0,4053.142219364154,19708.9317051237,2,305.0
305,0,4051.180096931418,20241.754609383803,3,306.0
306,0,4050.431630716361,20775.26182257032,1,307.0
307,0,4534.574116308951,793.2462075073545,1,308.0
308,0,4533.844288178257,1326.2229866490125,1,309.0
309,0,4532.816724073906,1859.4495772585944,2,310.0
310,0,4531.41338311001,2388.31571452987,3,311.0
311,0,4529.705339907745,2920.914477922628,7,312.0
312,0,4529.250094891469,3458.630331083248,4,313.0
313,0,4528.779942075887,3983.624413471004,5,314.0
314,0,4527.232993927097,4523.558872604488,0,315.0
315,0,4525.305177937638,5050.216844430447,5,316.0
316,0,4524.681062363024,5586.793912666186,0,317.0
317,0,4523.683823385775,6112.592735288093,0,318.0
318,0,4523.04609415971,6648.392910086905,3,319.0
319,0,4521.374795231088,7182.510340603443,3,320.0
320,0,4520.259164441413,7715.35548596282,3,321.0
321,0,4519.444044433707,8251.802101193633,0,322.0
322,0,4518.121757575798,8773.989254021235,0,323.0
323,0,4516.927792148313,9307.593240361652,1,324.0
324,0,4516.049019391325,9840.435721600434,6,325.0
325,0,4514.635985773219,10373.796741539843,3,326.0
326,0,4513.470909162522,10910.363470486258,2,327.0
327,0,4511.044538003898,11448.078640192343,4,328.0
328,0,4511.064102097866,11979.911480388822,1,329.0
329,0,4510.355852425352,12509.160435951224,4,330.0
330,0,4509.204341202985,13035.330753335122,1,331.0
331,0,4507.65828179277,13568.060500989326,4,332.0
332,0,4506.636165327886,14101.792967440964,1,333.0
333,0,4505.359973765436,14641.69984870187,0,334.0
334,0,4504.22057223013,15167.365752756614,2,335.0
335,0,4503.05744726299,15704.181607482868,7,336.0
336,0,4501.768221494571,16244.33574404621,5,337.0
